Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/apache/kafka,4a5aa3716978a766827521af1942ec54d6636324,core,kafka.network.DynamicConnectionQuotaTest.testDynamicConnectionQuota,NOD,Opened,https://github.com/apache/kafka/pull/20657,
https://github.com/apache/kafka,423330ebe7d76697f6cb108530fcd4cb8be1db48,clients,org.apache.kafka.common.network.Tls13SelectorTest.testCloseOldestConnection,NOD,Opened,https://github.com/apache/kafka/pull/20622,
https://github.com/apache/kafka,f5a87b37030708e877d40169da9b64a1e382c4f3,metadata,org.apache.kafka.controller.QuorumControllerTest.testMinIsrUpdateWithElr,NOD,Opened,https://github.com/apache/kafka/pull/20645,
https://github.com/chatterjeesunit/java-playground,d57e72c94251ff435a689595c2cab2b3599c761c,.,com.util.jwt.JWTDemoTest$JWTCreationTests.shouldGenerateDifferentJWTIdEachTime,NOD,Unmaintained,,latest commit 2022/04/18
https://github.com/conductor-oss/conductor,2e309b2a0b3780937f9c56a02f81d0153504eb7d,test-harness,com.netflix.conductor.test.integration.grpc.GrpcEndToEndTest,NOD,,,throws InitializationError occasionally
https://github.com/conductor-oss/conductor,2e309b2a0b3780937f9c56a02f81d0153504eb7d,mysql-persistence,com.netflix.conductor.test.integration.grpc.mysql.MySQLGrpcEndToEndTest,NOD,,,throws `InitializationError` occasionally
https://github.com/mikhail-g/gradle-junit-rerun,911b8c35cc31e09506ae4584f25299efe3c7b3b8,gradle-junit4-rerun,example.junit4.RerunFeatureTest.testFlaky,NOD,Unmaintained,,last commit on 2021-01-29
https://github.com/mikhail-g/gradle-junit-rerun,911b8c35cc31e09506ae4584f25299efe3c7b3b8,gradle-junit5-rerun,example.junit5.RerunFeatureTest.testFlaky,NOD,Unmaintained,,last commit on 2021-01-29
https://github.com/opensearch-project/OpenSearch,0c89456cea0609103e8227198d448ac5e4630bfc,OpenSearch/plugins/cache-ehcache/src/internalClusterTest/java/org/opensearch/cache,org.opensearch.cache.EhcacheDiskCacheIT.testSanityChecksWithIndicesRequestCache,NOD,Accepted,https://github.com/opensearch-project/OpenSearch/pull/19761,
https://github.com/opensearch-project/OpenSearch,e0d622ddc73bdab552d94427dfeb3e101b026ce2,OpenSearch/server/src/test/java/org/opensearch/index/fielddata,org.opensearch.index.fielddata.IndexFieldDataServiceTests.testIndexFieldDataCacheIsClearedAfterIndexRemoval,NOD,Opened,https://github.com/opensearch-project/OpenSearch/pull/19759,
https://github.com/opensearch-project/OpenSearch,e79835331edf8d15867d8037bc79e6c68c6c944d,OpenSearch/server/src/internalClusterTest/java/org/opensearch/index/shard,org.opensearch.index.shard.IndexShardIT.testIndexCanChangeCustomDataPath,NOD,Opened,https://github.com/opensearch-project/OpenSearch/pull/19758,
