selected,threadId,enabled,operation
2,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,0,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,4,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
2,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,1,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
1,2,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,1,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,2,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
