selected,threadId,enabled,operation
1,1,28,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
2,2,28,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,3,28,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
2,2,28,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,28,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,28,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,28,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,4,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
24,25,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
26,27,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
16,17,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
4,5,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
6,7,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
11,12,27,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
26,27,27,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
22,23,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
18,19,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
20,21,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
16,17,26,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,26,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
12,13,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
23,24,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
23,24,26,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
23,24,26,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,1,26,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,6,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
8,9,26,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,0,26,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
2,4,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,2,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
11,13,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
13,15,25,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,5,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
9,11,25,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
16,18,25,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
13,15,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
21,23,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,5,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
10,12,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
23,25,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
19,21,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
18,20,25,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
4,6,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,1,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,2,25,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
19,22,24,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
9,12,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,1,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,24,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,4,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
22,25,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
19,22,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
21,24,24,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
12,15,23,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,10,23,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
9,12,23,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
13,17,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
8,11,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,10,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
6,9,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
16,20,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
18,22,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,4,22,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
20,26,21,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
19,25,21,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
9,14,21,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
20,26,21,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
15,20,21,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
17,22,21,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
15,20,20,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
13,18,19,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
16,23,19,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
18,26,19,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
15,21,19,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
17,25,19,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
15,21,18,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
13,18,17,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
15,23,17,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
9,14,16,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,9,16,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
12,17,16,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,5,16,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
6,11,15,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
12,18,15,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
11,17,15,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,8,14,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
13,26,14,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,13,13,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,9,13,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,6,13,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
11,18,13,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,13,12,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
11,19,12,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
6,11,12,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,12,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,9,12,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,10,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
9,16,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,8,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,14,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,7,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,7,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
6,13,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
8,16,10,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,6,10,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,14,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,10,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,14,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
6,16,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,19,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,8,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,8,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
7,19,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,15,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,11,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,15,7,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,10,6,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,8,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,19,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,7,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,16,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,16,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,7,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
