selected,threadId,enabled,operation
10,10,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
6,6,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,0,11,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,5,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,1,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
5,5,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,1,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
6,6,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,3,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
10,10,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
7,7,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
10,10,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
10,10,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
9,9,11,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,1,11,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,11,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
9,10,10,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,1,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,6,9,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
8,9,9,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
5,6,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,5,8,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,7,8,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,8,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
4,7,7,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,5,7,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,2,6,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,2,6,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,7,6,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,3,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,8,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,2,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,3,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,2,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,4,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,4,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,8,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,8,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,9,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,9,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,8,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
