selected,threadId,enabled,operation
2,3,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,2,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
2,3,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,1,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,3,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,3,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,1,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,4,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,4,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,3,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
