selected,threadId,enabled,operation
1,1,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,1,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,1,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
4,4,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
4,4,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,1,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
4,4,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,1,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,4,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,3,5,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
4,4,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,3,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,2,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,3,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
1,2,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,2,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,0,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,2,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
