selected,threadId,enabled,operation
6,6,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
1,1,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
8,8,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
5,5,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
3,3,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
7,7,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
2,2,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
4,4,9,cmu.pasta.sfuzz.core.concurrency.operations.ThreadStartOperation
6,6,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,1,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
2,2,9,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,5,8,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
5,7,7,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
3,4,6,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
4,8,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,1,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,3,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,3,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
1,6,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,6,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
7,8,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
6,7,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,4,7,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,3,6,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,5,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,2,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,8,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,8,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
6,7,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,4,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,3,7,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,5,6,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,2,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,7,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,1,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,7,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
3,4,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
2,3,8,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,5,7,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,2,6,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,7,5,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,4,4,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,0,4,cmu.pasta.sfuzz.core.concurrency.operations.ObjectWaitOperation
1,6,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,4,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,3,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
3,5,5,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,2,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,3,3,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
1,4,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,3,2,cmu.pasta.sfuzz.core.concurrency.operations.MemoryOperation
2,5,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,2,4,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
0,3,3,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
1,8,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
0,2,2,cmu.pasta.sfuzz.core.concurrency.operations.ThreadResumeOperation
1,5,2,cmu.pasta.sfuzz.core.concurrency.operations.ReentrantLockLockOperation
